employee_id,sAMAccountName,userPrincipalName,ad_status,ad_group
1,ahill,allison.hill1@company.com,ACTIVE,Domain Users
2,nrhodes,noah.rhodes2@company.com,ACTIVE,Domain Users
3,ahenderson,angie.henderson3@company.com,ACTIVE,Server Operators
4,dwagner,daniel.wagner4@company.com,DISABLED,Account Operators
5,csantos,cristian.santos5@company.com,ACTIVE,Domain Admins
6,clawrence,connie.lawrence6@company.com,ACTIVE,Domain Users
7,ashaffer,abigail.shaffer7@company.com,ACTIVE,Server Operators
8,gmoore,gina.moore8@company.com,DISABLED,Domain Users
9,gdavis,gabrielle.davis9@company.com,ACTIVE,Domain Users
10,rmunoz,ryan.munoz10@company.com,DISABLED,Server Operators
11,mherrera,monica.herrera11@company.com,ACTIVE,Domain Admins
12,jarnold,jamie.arnold12@company.com,ACTIVE,Domain Users
13,lhensley,lisa.hensley13@company.com,ACTIVE,Domain Admins
14,mwilliams,michele.williams14@company.com,DISABLED,Domain Users
15,dmiller,dylan.miller15@company.com,ACTIVE,Server Operators
16,bramirez,brian.ramirez16@company.com,DISABLED,Domain Users
17,hwood,holly.wood17@company.com,ACTIVE,Server Operators
18,dzuniga,derek.zuniga18@company.com,DISABLED,Domain Users
19,ljackson,lisa.jackson19@company.com,ACTIVE,Domain Users
20,cgray,carla.gray20@company.com,ACTIVE,Domain Users
21,mdds,margaret.dds21@company.com,ACTIVE,Domain Users
22,pperez,patty.perez22@company.com,DISABLED,Domain Users
23,eadams,ethan.adams23@company.com,DISABLED,Domain Users
24,twalter,tommy.walter24@company.com,ACTIVE,Domain Users
25,mfoster,matthew.foster25@company.com,ACTIVE,Domain Users
26,jbaker,judy.baker26@company.com,ACTIVE,Domain Users
27,jbaker,justin.baker27@company.com,ACTIVE,Domain Users
28,sross,stephanie.ross28@company.com,DISABLED,Domain Admins
29,zhicks,zachary.hicks29@company.com,ACTIVE,Server Operators
30,arodriguez,anthony.rodriguez30@company.com,DISABLED,Domain Users
31,rhenderson,rebecca.henderson31@company.com,ACTIVE,Server Operators
32,jferrell,james.ferrell32@company.com,ACTIVE,Domain Users
33,tvalencia,tricia.valencia33@company.com,ACTIVE,Domain Users
34,nmaldonado,nathan.maldonado34@company.com,DISABLED,Server Operators
35,ddavidson,debra.davidson35@company.com,ACTIVE,Domain Users
36,jchavez,jeffrey.chavez36@company.com,ACTIVE,Domain Users
37,sbaker,sherri.baker37@company.com,ACTIVE,Domain Users
38,cgaines,cassandra.gaines38@company.com,ACTIVE,Domain Users
39,efowler,elizabeth.fowler39@company.com,ACTIVE,Domain Users
40,bfarmer,brittany.farmer40@company.com,ACTIVE,Domain Users
41,pmoreno,paula.moreno41@company.com,DISABLED,Domain Users
42,fsmith,fred.smith42@company.com,ACTIVE,Domain Users
43,sdecker,sherry.decker43@company.com,ACTIVE,Domain Admins
44,ahumphrey,anthony.humphrey44@company.com,ACTIVE,Domain Users
45,atucker,angelica.tucker45@company.com,DISABLED,Domain Users
46,pcannon,philip.cannon46@company.com,DISABLED,Domain Users
47,jpierce,john.pierce47@company.com,ACTIVE,Account Operators
48,shenderson,shane.henderson48@company.com,ACTIVE,Domain Users
49,jblair,joshua.blair49@company.com,ACTIVE,Server Operators
50,ecarney,eric.carney50@company.com,ACTIVE,Domain Users
51,jholmes,jessica.holmes51@company.com,DISABLED,Domain Users
52,dmorgan,danny.morgan52@company.com,DISABLED,Server Operators
53,crobinson,crystal.robinson53@company.com,ACTIVE,Domain Users
54,mperez,mark.perez54@company.com,DISABLED,Domain Users
55,sjones,shannon.jones55@company.com,ACTIVE,Server Operators
56,mlewis,michael.lewis56@company.com,ACTIVE,Domain Users
57,tduncan,timothy.duncan57@company.com,ACTIVE,Domain Users
58,raguirre,richard.aguirre58@company.com,ACTIVE,Domain Users
59,bjordan,brent.jordan59@company.com,ACTIVE,Domain Users
60,jdaniel,john.daniel60@company.com,DISABLED,Domain Users
61,vgarcia,victoria.garcia61@company.com,DISABLED,Domain Users
62,ghensley,gerald.hensley62@company.com,DISABLED,Domain Users
63,cwest,connor.west63@company.com,ACTIVE,Domain Users
64,dwright,donald.wright64@company.com,ACTIVE,Domain Users
65,jcallahan,jessica.callahan65@company.com,ACTIVE,Server Operators
66,akidd,amber.kidd66@company.com,DISABLED,Account Operators
67,thouse,tracy.house67@company.com,ACTIVE,Domain Admins
68,ctucker,carol.tucker68@company.com,ACTIVE,Server Operators
69,jbrown,james.brown69@company.com,DISABLED,Server Operators
70,wbaker,william.baker70@company.com,ACTIVE,Domain Users
71,jhenderson,jordan.henderson71@company.com,ACTIVE,Domain Users
72,wpeters,whitney.peters72@company.com,ACTIVE,Domain Users
73,bphillips,brittney.phillips73@company.com,DISABLED,Domain Users
74,ldaniels,lauren.daniels74@company.com,ACTIVE,Server Operators
75,asilva,amy.silva75@company.com,DISABLED,Server Operators
76,smoore,sarah.moore76@company.com,ACTIVE,Server Operators
77,alopez,angela.lopez77@company.com,ACTIVE,Domain Users
78,myoung,megan.young78@company.com,ACTIVE,Server Operators
79,ssanchez,steve.sanchez79@company.com,ACTIVE,Domain Admins
80,lbarnes,lisa.barnes80@company.com,ACTIVE,Domain Admins
81,kdonovan,kelly.donovan81@company.com,ACTIVE,Domain Users
82,mallen,mike.allen82@company.com,ACTIVE,Domain Admins
83,mevans,michael.evans83@company.com,ACTIVE,Server Operators
84,pjones,paul.jones84@company.com,ACTIVE,Account Operators
85,zferrell,zachary.ferrell85@company.com,ACTIVE,Domain Users
86,dbaker,daniel.baker86@company.com,DISABLED,Domain Users
87,ssuarez,shirley.suarez87@company.com,ACTIVE,Domain Users
88,cbass,christopher.bass88@company.com,ACTIVE,Domain Users
89,larcher,lisa.archer89@company.com,ACTIVE,Domain Users
90,amontoya,aimee.montoya90@company.com,DISABLED,Domain Users
91,mmcmillan,matthew.mcmillan91@company.com,ACTIVE,Domain Users
92,brodriguez,brian.rodriguez92@company.com,ACTIVE,Domain Users
93,djacobs,denise.jacobs93@company.com,ACTIVE,Domain Users
94,cwalters,christina.walters94@company.com,ACTIVE,Domain Users
95,jwhitehead,john.whitehead95@company.com,ACTIVE,Domain Users
96,ahenderson,anna.henderson96@company.com,DISABLED,Domain Admins
97,awise,aaron.wise97@company.com,ACTIVE,Domain Users
98,dfigueroa,deborah.figueroa98@company.com,ACTIVE,Account Operators
99,jsmith,jessica.smith99@company.com,DISABLED,Domain Users
100,smckee,stephen.mckee100@company.com,ACTIVE,Domain Admins
101,saguilar,sandra.aguilar101@company.com,ACTIVE,Domain Users
102,cparker,cameron.parker102@company.com,ACTIVE,Server Operators
103,rvalencia,rebecca.valencia103@company.com,ACTIVE,Domain Users
104,cwright,christine.wright104@company.com,DISABLED,Server Operators
105,rhenson,richard.henson105@company.com,ACTIVE,Domain Admins
106,mmoore,marc.moore106@company.com,DISABLED,Domain Users
107,scherry,sharon.cherry107@company.com,ACTIVE,Account Operators
108,sjohnson,sierra.johnson108@company.com,ACTIVE,Domain Users
109,egalvan,evelyn.galvan109@company.com,ACTIVE,Domain Users
110,scochran,sharon.cochran110@company.com,ACTIVE,Domain Users
111,rrodriguez,richard.rodriguez111@company.com,ACTIVE,Domain Users
112,swalker,shannon.walker112@company.com,ACTIVE,Domain Admins
113,jtorres,julia.torres113@company.com,DISABLED,Domain Users
114,cjohnson,crystal.johnson114@company.com,DISABLED,Domain Users
115,glin,garrett.lin115@company.com,ACTIVE,Domain Users
116,dmay,diana.may116@company.com,DISABLED,Domain Users
117,wherrera,william.herrera117@company.com,ACTIVE,Server Operators
118,awaller,ashley.waller118@company.com,DISABLED,Domain Users
119,vbaker,victor.baker119@company.com,ACTIVE,Domain Users
120,jchandler,jeffrey.chandler120@company.com,ACTIVE,Domain Users
121,ldixon,larry.dixon121@company.com,ACTIVE,Domain Admins
122,kscott,kenneth.scott122@company.com,DISABLED,Domain Users
123,afrost,april.frost123@company.com,ACTIVE,Domain Users
124,mharmon,michelle.harmon124@company.com,DISABLED,Domain Users
125,hjones,helen.jones125@company.com,DISABLED,Domain Admins
126,eedwards,erin.edwards126@company.com,ACTIVE,Domain Users
127,mevans,michelle.evans127@company.com,DISABLED,Domain Users
128,jpowell,jason.powell128@company.com,ACTIVE,Server Operators
129,cfisher,cameron.fisher129@company.com,ACTIVE,Domain Users
130,morr,megan.orr130@company.com,ACTIVE,Domain Users
131,ekelley,elizabeth.kelley131@company.com,ACTIVE,Domain Admins
132,djordan,dustin.jordan132@company.com,ACTIVE,Server Operators
133,mmarshall,mary.marshall133@company.com,ACTIVE,Domain Users
134,dkennedy,daniel.kennedy134@company.com,ACTIVE,Domain Admins
135,rjackson,rebecca.jackson135@company.com,ACTIVE,Domain Users
136,jschultz,jose.schultz136@company.com,ACTIVE,Domain Users
137,rpotter,robert.potter137@company.com,ACTIVE,Domain Users
138,cgonzalez,courtney.gonzalez138@company.com,ACTIVE,Domain Users
139,dalvarez,david.alvarez139@company.com,ACTIVE,Account Operators
140,aperry,angel.perry140@company.com,DISABLED,Server Operators
141,chorton,cheyenne.horton141@company.com,ACTIVE,Server Operators
142,djr.,david.jr.142@company.com,ACTIVE,Domain Users
143,prodriguez,patricia.rodriguez143@company.com,ACTIVE,Server Operators
144,crubio,christopher.rubio144@company.com,ACTIVE,Domain Users
145,awright,amber.wright145@company.com,ACTIVE,Domain Users
146,jsolis,joyce.solis146@company.com,DISABLED,Server Operators
147,vlarson,victoria.larson147@company.com,ACTIVE,Account Operators
148,ssalazar,stephanie.salazar148@company.com,ACTIVE,Domain Users
149,krivas,kathy.rivas149@company.com,ACTIVE,Domain Users
150,smanning,stephanie.manning150@company.com,ACTIVE,Domain Admins
151,dwright,david.wright151@company.com,ACTIVE,Domain Users
152,pboyd,pamela.boyd152@company.com,ACTIVE,Domain Users
153,djones,denise.jones153@company.com,ACTIVE,Domain Users
154,dflores,devon.flores154@company.com,ACTIVE,Domain Admins
155,bhall,brenda.hall155@company.com,ACTIVE,Server Operators
156,mbrown,michelle.brown156@company.com,ACTIVE,Account Operators
157,jperry,joshua.perry157@company.com,ACTIVE,Server Operators
158,jstein,jason.stein158@company.com,ACTIVE,Domain Users
159,mgates,melissa.gates159@company.com,ACTIVE,Domain Users
160,jsmith,jamie.smith160@company.com,ACTIVE,Account Operators
161,pcastaneda,paul.castaneda161@company.com,ACTIVE,Server Operators
162,jadkins,jennifer.adkins162@company.com,ACTIVE,Domain Users
163,lwalker,lindsey.walker163@company.com,ACTIVE,Domain Users
164,jjohnson,jeffrey.johnson164@company.com,ACTIVE,Domain Users
165,mpowell,michael.powell165@company.com,ACTIVE,Domain Admins
166,janderson,john.anderson166@company.com,ACTIVE,Account Operators
167,along,alyssa.long167@company.com,ACTIVE,Domain Users
168,aday,alyssa.day168@company.com,DISABLED,Domain Users
169,jwilliams,joel.williams169@company.com,ACTIVE,Account Operators
170,dmurphy,daniel.murphy170@company.com,ACTIVE,Domain Users
171,jwalton,jamie.walton171@company.com,ACTIVE,Domain Users
172,dmiller,darlene.miller172@company.com,ACTIVE,Domain Users
173,jcooke,joshua.cooke173@company.com,DISABLED,Server Operators
174,mharrington,matthew.harrington174@company.com,ACTIVE,Server Operators
175,nherring,nicole.herring175@company.com,DISABLED,Account Operators
