userid,username,email,status,role,tokenusage,createdat,rotatedat
10001,andrewgarcia.14,andrew.garcia1@company.com,ACTIVE,S3ReadOnly,1690,2025-06-11,2026-05-27
10002,andrewgreen.63,andrew.green2@company.com,ACTIVE,S3ReadOnly,568,2025-04-09,2026-06-05
10003,andrewhill_30,andrew.hill3@company.com,ACTIVE,S3ReadOnly,1107,2025-10-11,2026-05-17
10004,andrewramirez.16,andrew.ramirez4@company.com,ACTIVE,S3ReadOnly,1566,2025-01-20,2026-05-21
10005,andrewwilson_59,andrew.wilson5@company.com,ACTIVE,S3ReadOnly,791,2025-10-13,2026-05-28
10006,anthonyadams_31,anthony.adams6@company.com,ACTIVE,S3ReadOnly,1529,2025-10-12,2026-05-02
10007,anthonynelson.65,anthony.nelson7@company.com,ACTIVE,S3ReadOnly,1154,2025-06-25,2026-04-02
10008,ANTHONYRIVERA,anthony.rivera8@company.com,ACTIVE,S3ReadOnly,325,2025-02-15,2026-06-03
10009,anthonytorres_46,anthony.torres9@company.com,ACTIVE,S3ReadOnly,1647,2025-07-25,2026-06-06
10010,ANTHONYWRIGHT,anthony.wright10@company.com,ACTIVE,S3ReadOnly,1359,2025-09-16,2026-05-27
10011,ashle.yadams,ashley.adams11@company.com,ACTIVE,S3ReadOnly,48,2025-08-15,2026-04-02
10012,ASHLEYGREEN,ashley.green12@company.com,ACTIVE,S3ReadOnly,1039,2025-05-23,2026-05-24
10013,ashle.yjones,ashley.jones13@company.com,ACTIVE,S3ReadOnly,128,2025-04-24,2026-05-17
10014,ashleylee_6,ashley.lee14@company.com,ACTIVE,S3ReadOnly,1357,2025-03-10,2026-05-24
10015,ashleymartin.78,ashley.martin15@company.com,ACTIVE,S3ReadOnly,1316,2025-03-11,2026-05-20
10016,ASHLEYRAMIREZ,ashley.ramirez16@company.com,ACTIVE,S3ReadOnly,1694,2025-05-31,2026-05-16
10017,ashleyyoung.54,ashley.young17@company.com,ACTIVE,S3ReadOnly,1416,2025-05-21,2026-05-27
10018,barbaraanderson_12,barbara.anderson18@company.com,ACTIVE,S3ReadOnly,1616,2025-06-15,2026-04-22
10019,barbaraclark.54,barbara.clark19@company.com,ACTIVE,S3ReadOnly,663,2025-09-12,2026-06-11
10020,barbaragonzalez_85,barbara.gonzalez20@company.com,ACTIVE,S3ReadOnly,1135,2025-06-02,2026-05-31
10021,barbarahernandez-1,barbara.hernandez21@company.com,ACTIVE,S3ReadOnly,77,2025-11-16,2026-06-06
10022,BARBARAMARTIN,barbara.martin22@company.com,ACTIVE,S3ReadOnly,128,2025-07-09,2026-05-25
10023,barbaramartinez_44,barbara.martinez23@company.com,ACTIVE,S3ReadOnly,1721,2025-03-10,2026-04-19
10024,BARBARAMILLER_9,barbara.miller24@company.com,ACTIVE,S3ReadOnly,455,2025-03-03,2026-05-20
10025,BARBARANELSON,barbara.nelson25@company.com,ACTIVE,S3ReadOnly,1415,2025-11-02,2026-05-14
10026,barbarasmith-3,barbara.smith26@company.com,ACTIVE,S3ReadOnly,1168,2025-03-02,2026-05-15
10027,bettymiller-1,betty.miller27@company.com,ACTIVE,S3ReadOnly,228,2025-05-16,2026-05-29
10028,bettymitchell_27,betty.mitchell28@company.com,ACTIVE,S3ReadOnly,329,2025-02-01,2026-06-01
10029,BETTYRAMIREZ,betty.ramirez29@company.com,ACTIVE,S3ReadOnly,1917,2025-11-04,2026-05-26
10030,bettyrivera.41,betty.rivera30@company.com,ACTIVE,S3ReadOnly,1231,2025-04-04,2026-05-10
10031,bettywalker.80,betty.walker31@company.com,ACTIVE,AdministratorAccess,823,2025-04-22,2026-05-06
10032,BRIANRAMIREZ,brian.ramirez32@company.com,ACTIVE,AdministratorAccess,1350,2025-11-16,2026-05-28
10033,brianroberts-2,brian.roberts33@company.com,ACTIVE,AdministratorAccess,1111,2025-08-17,2026-06-02
10034,BRIANTHOMPSON,brian.thompson34@company.com,ACTIVE,AdministratorAccess,1746,2025-08-15,2026-03-20
10035,brianwilson.16,brian.wilson35@company.com,ACTIVE,AdministratorAccess,1223,2025-02-14,2026-05-17
10036,CHARLESGONZALEZ_7,charles.gonzalez36@company.com,ACTIVE,AdministratorAccess,940,2025-01-23,2026-06-01
10037,CHARLESGREEN_8,charles.green37@company.com,ACTIVE,AdministratorAccess,58,2025-09-06,2026-06-10
10038,charlesmoore-4,charles.moore38@company.com,ACTIVE,AdministratorAccess,1721,2025-06-19,2026-05-12
10039,charle.staylor,charles.taylor39@company.com,ACTIVE,AdministratorAccess,1184,2025-09-18,2026-05-03
10040,CHARLESTHOMAS_3,charles.thomas40@company.com,ACTIVE,AdministratorAccess,658,2025-07-20,2026-03-15
10041,charle.swilson,charles.wilson41@company.com,ACTIVE,AdministratorAccess,869,2025-05-07,2026-03-11
10042,CHRISTOPHERBAKER,christopher.baker42@company.com,ACTIVE,AdministratorAccess,907,2025-07-12,2026-02-18
